ball_y,ball_x,vy,vx,paddle_agent_y,paddle_opponent_y,action
0.910173,0.32654488,-0.5149216,0.9850784,0.46333334,0.7266667,1
0.9033074,0.33639565,-0.5149216,0.9850784,0.45333335,0.7366667,1
0.89644176,0.34624645,-0.5149216,0.9850784,0.44333333,0.74666667,1
0.88957614,0.35609722,-0.5149216,0.9850784,0.43333334,0.75666666,1
0.8827105,0.365948,-0.5149216,0.9850784,0.42333335,0.76666665,0
0.8758449,0.3757988,-0.5149216,0.9850784,0.43333334,0.77666664,1
0.8689793,0.38564956,-0.5149216,0.9850784,0.42333335,0.7866667,0
0.86211365,0.39550036,-0.5149216,0.9850784,0.43333334,0.7966667,1
0.85524803,0.40535113,-0.5149216,0.9850784,0.42333335,0.7866667,0
0.8483824,0.41520193,-0.5149216,0.9850784,0.43333334,0.7966667,1
0.8415168,0.4250527,-0.5149216,0.9850784,0.42333335,0.7866667,0
0.8346512,0.4349035,-0.5149216,0.9850784,0.43333334,0.77666664,1
0.82778555,0.44475427,-0.5149216,0.9850784,0.42333335,0.76666665,0
0.82091993,0.45460507,-0.5149216,0.9850784,0.43333334,0.75666666,1
0.8140543,0.46445584,-0.5149216,0.9850784,0.42333335,0.74666667,0
0.8071887,0.47430664,-0.5149216,0.9850784,0.43333334,0.75666666,1
0.80032307,0.4841574,-0.5149216,0.9850784,0.42333335,0.74666667,0
0.79345745,0.49400818,-0.5149216,0.9850784,0.43333334,0.7366667,1
0.7865918,0.503859,-0.5149216,0.9850784,0.42333335,0.7266667,0
0.7797262,0.5137098,-0.5149216,0.9850784,0.43333334,0.71666664,1
0.7728606,0.5235605,-0.5149216,0.9850784,0.42333335,0.70666665,0
0.76599497,0.5334113,-0.5149216,0.9850784,0.43333334,0.69666666,1
0.75912935,0.5432621,-0.5149216,0.9850784,0.42333335,0.70666665,0
0.7522637,0.5531129,-0.5149216,0.9850784,0.43333334,0.69666666,1
0.7453981,0.56296366,-0.5149216,0.9850784,0.42333335,0.68666667,0
0.7385325,0.57281446,-0.5149216,0.9850784,0.43333334,0.6766667,1
0.73166686,0.58266526,-0.5149216,0.9850784,0.42333335,0.6666667,0
0.72480124,0.59251606,-0.5149216,0.9850784,0.43333334,0.6566667,1
0.7179356,0.6023668,-0.5149216,0.9850784,0.42333335,0.6666667,0
0.71107,0.6122176,-0.5149216,0.9850784,0.43333334,0.6566667,1
0.7042044,0.6220684,-0.5149216,0.9850784,0.42333335,0.64666665,0
0.69733876,0.63191915,-0.5149216,0.9850784,0.43333334,0.63666666,1
0.69047314,0.64176995,-0.5149216,0.9850784,0.42333335,0.62666667,0
0.6836075,0.65162075,-0.5149216,0.9850784,0.43333334,0.6166667,1
0.6767419,0.66147155,-0.5149216,0.9850784,0.42333335,0.62666667,0
0.6698763,0.6713223,-0.5149216,0.9850784,0.43333334,0.6166667,1
0.66301066,0.6811731,-0.5149216,0.9850784,0.42333335,0.6066667,0
0.65614504,0.6910239,-0.5149216,0.9850784,0.43333334,0.5966667,1
0.6492794,0.7008747,-0.5149216,0.9850784,0.42333335,0.58666664,0
0.6424138,0.7107254,-0.5149216,0.9850784,0.43333334,0.57666665,1
0.6355482,0.7205762,-0.5149216,0.9850784,0.42333335,0.56666666,0
0.62868255,0.730427,-0.5149216,0.9850784,0.43333334,0.57666665,1
0.62181693,0.74027777,-0.5149216,0.9850784,0.42333335,0.56666666,0
0.6149513,0.75012857,-0.5149216,0.9850784,0.43333334,0.5566667,1
0.6080857,0.75997937,-0.5149216,0.9850784,0.42333335,0.5466667,0
0.6012201,0.76983017,-0.5149216,0.9850784,0.43333334,0.5366667,1
0.5943544,0.7796809,-0.5149216,0.9850784,0.42333335,0.52666664,0
0.5874888,0.7895317,-0.5149216,0.9850784,0.43333334,0.5366667,1
0.58062315,0.7993825,-0.5149216,0.9850784,0.42333335,0.52666664,0
0.5737575,0.8092333,-0.5149216,0.9850784,0.43333334,0.51666665,1
0.5668919,0.81908405,-0.5149216,0.9850784,0.42333335,0.50666666,0
0.5600263,0.82893485,-0.5149216,0.9850784,0.43333334,0.49666667,1
0.55316067,0.83878565,-0.5149216,0.9850784,0.42333335,0.48666668,0
0.54629505,0.8486364,-0.5149216,0.9850784,0.43333334,0.47666666,1
0.5394294,0.8584872,-0.5149216,0.9850784,0.42333335,0.48666668,0
0.5325638,0.868338,-0.5149216,0.9850784,0.43333334,0.47666666,1
0.5256982,0.8781888,-0.5149216,0.9850784,0.42333335,0.46666667,0
0.51883256,0.8880395,-0.5149216,0.9850784,0.43333334,0.45666668,1
0.51196694,0.8978903,-0.5149216,0.9850784,0.42333335,0.44666666,0
0.5051013,0.9077411,-0.5149216,0.9850784,0.43333334,0.43666667,1
0.49823573,0.9175919,-0.5149216,0.9850784,0.42333335,0.44666666,0
0.4913701,0.92744267,-0.5149216,0.9850784,0.43333334,0.43666667,1
0.4845045,0.93729347,-0.5149216,0.9850784,0.42333335,0.42666668,0
0.47763884,0.94714427,-0.5149216,0.9850784,0.43333334,0.41666666,1
0.47077322,0.956995,-0.5149216,0.9850784,0.42333335,0.40666667,0
0.4639076,0.9668458,-0.5149216,0.9850784,0.43333334,0.39666668,1
0.45704198,0.9766966,-0.5298584,-0.9701416,0.42333335,0.40666667,1
0.44997722,0.9669952,-0.5298584,-0.9701416,0.41333333,0.41666666,1
0.44291243,0.95729375,-0.5298584,-0.9701416,0.40333334,0.42666668,1
0.43584764,0.9475924,-0.5298584,-0.9701416,0.39333335,0.43666667,1
0.42878288,0.93789095,-0.5298584,-0.9701416,0.38333333,0.42666668,1
0.4217181,0.9281895,-0.5298584,-0.9701416,0.37333333,0.43666667,1
0.41465333,0.9184881,-0.5298584,-0.9701416,0.36333334,0.42666668,1
0.40758854,0.9087867,-0.5298584,-0.9701416,0.35333332,0.43666667,1
0.40052375,0.8990853,-0.5298584,-0.9701416,0.34333333,0.42666668,1
0.393459,0.88938385,-0.5298584,-0.9701416,0.33333334,0.43666667,1
0.3863942,0.8796824,-0.5298584,-0.9701416,0.32333332,0.42666668,1
0.3793294,0.86998105,-0.5298584,-0.9701416,0.31333333,0.43666667,1
0.37226465,0.8602796,-0.5298584,-0.9701416,0.30333334,0.42666668,0
0.36519986,0.8505782,-0.5298584,-0.9701416,0.31333333,0.43666667,1
0.3581351,0.84087676,-0.5298584,-0.9701416,0.30333334,0.42666668,1
0.3510703,0.8311754,-0.5298584,-0.9701416,0.29333332,0.43666667,1
0.34400553,0.82147396,-0.5298584,-0.9701416,0.28333333,0.42666668,1
0.33694077,0.8117725,-0.5298584,-0.9701416,0.27333334,0.43666667,1
0.32987598,0.8020711,-0.5298584,-0.9701416,0.26333332,0.42666668,1
0.3228112,0.7923697,-0.5298584,-0.9701416,0.25333333,0.43666667,0
0.31574643,0.7826683,-0.5298584,-0.9701416,0.26333332,0.42666668,1
0.30868164,0.77296686,-0.5298584,-0.9701416,0.25333333,0.43666667,1
0.30161688,0.76326543,-0.5298584,-0.9701416,0.24333334,0.42666668,1
0.2945521,0.75356406,-0.5298584,-0.9701416,0.23333333,0.43666667,1
0.2874873,0.7438626,-0.5298584,-0.9701416,0.22333333,0.42666668,1
0.28042254,0.7341612,-0.5298584,-0.9701416,0.21333334,0.43666667,0
